ibge;municipio;ano;populacao
150275;Concórdia do Pará;2015;31430
150276;Cumaru do Norte;2015;12297
150277;Curionópolis;2015;18270
150280;Curralinho;2015;32224
150285;Curuá;2015;13606
150290;Curuçá;2015;37955
150293;Dom Eliseu;2015;56661
150295;Eldorado do Carajás;2015;33271
150300;Faro;2015;7697
150304;Floresta do Araguaia;2015;19404
150307;Garrafão do Norte;2015;25882
150309;Goianésia do Pará;2015;38001
150310;Gurupá;2015;31833
150320;Igarapé-Açu;2015;37929
150330;Igarapé-Miri;2015;61321
150340;Inhangapi;2015;11100
150345;Ipixuna do Pará;2015;57645
150350;Irituia;2015;32365
150360;Itaituba;2015;100644
150370;Itupiranga;2015;52919
150375;Jacareacanga;2015;10885
150380;Jacundá;2015;56355
150390;Juruti;2015;53793
150400;Limoeiro do Ajuru;2015;27522
150405;Mãe do Rio;2015;29436
150410;Magalhães Barata;2015;8447
150420;Marabá;2015;262255
150430;Maracanã;2015;29295
150440;Marapanim;2015;27870
150442;Marituba;2015;122700
150445;Medicilândia;2015;30056
150450;Melgaço;2015;26694
150460;Mocajuba;2015;29530
150470;Moju;2015;77660
150475;Mojuí dos Campos;2015;15677
150480;Monte Alegre;2015;57503
150490;Muaná;2015;38078
150495;Nova Esperança do Piriá;2015;21058
150497;Nova Ipixuna;2015;15960
150500;Nova Timboteua;2015;14781
150503;Novo Progresso;2015;25747
150506;Novo Repartimento;2015;70638
150510;Óbidos;2015;51446
150520;Oeiras do Pará;2015;31134
150530;Oriximiná;2015;69344
150540;Ourém;2015;17356
150543;Ourilândia do Norte;2015;30777
150548;Pacajá;2015;44819
150549;Palestina do Pará;2015;7617
150550;Paragominas;2015;107609
150553;Parauapebas;2015;186658
150555;Pau D'Arco;2015;5779
150560;Peixe-Boi;2015;8062
150563;Piçarra;2015;12990
150565;Placas;2015;28220
150570;Ponta de Pedras;2015;29180
150580;Portel;2015;58366
150590;Porto de Moz;2015;38421
150600;Prainha;2015;29946
150610;Primavera;2015;10692
150611;Quatipuru;2015;13224
150613;Redenção;2015;81622
150616;Rio Maria;2015;18163
150618;Rondon do Pará;2015;50537
150619;Rurópolis;2015;46474
150620;Salinópolis;2015;39670
150630;Salvaterra;2015;22436
150635;Santa Bárbara do Pará;2015;19575
150640;Santa Cruz do Arari;2015;9370
150650;Santa Izabel do Pará;2015;66574
150655;Santa Luzia do Pará;2015;19866
150658;Santa Maria das Barreiras;2015;19815
150660;Santa Maria do Pará;2015;24314
150670;Santana do Araguaia;2015;66283
150680;Santarém;2015;296881
150690;Santarém Novo;2015;6529
150700;Santo Antônio do Tauá;2015;29704
150710;São Caetano de Odivelas;2015;17729
150715;São Domingos do Araguaia;2015;24758
150720;São Domingos do Capim;2015;31380
150730;São Félix do Xingu;2015;113573
150740;São Francisco do Pará;2015;15685
150745;São Geraldo do Araguaia;2015;25424
150746;São João da Ponta;2015;5820
150747;São João de Pirabas;2015;22233
150750;São João do Araguaia;2015;13772
150760;São Miguel do Guamá;2015;56349
150770;São Sebastião da Boa Vista;2015;25281
150775;Sapucaia;2015;5605
150780;Senador José Porfírio;2015;12383
150790;Soure;2015;24597
150795;Tailândia;2015;95615
150796;Terra Alta;2015;11203
150797;Terra Santa;2015;18166
150800;Tomé-Açu;2015;61070
150803;Tracuateua;2015;29745
150805;Trairão;2015;18260
150808;Tucumã;2015;37425
150810;Tucuruí;2015;107602
150812;Ulianópolis;2015;52884
150815;Uruará;2015;45641
150820;Vigia;2015;51703
150830;Viseu;2015;59984
150835;Vitória do Xingu;2015;14545
150840;Xinguara;2015;43384
160010;Amapá;2015;8784
160020;Calçoene;2015;10336
160021;Cutias;2015;5495
160023;Ferreira Gomes;2015;7008
160025;Itaubal;2015;5030
160027;Laranjal do Jari;2015;46473
160030;Macapá;2015;463744
160040;Mazagão;2015;19894
160050;Oiapoque;2015;24642
160015;Pedra Branca do Amapari;2015;14168
160053;Porto Grande;2015;19983
160055;Pracuúba;2015;4600
160060;Santana;2015;114201
160005;Serra do Navio;2015;5023
160070;Tartarugalzinho;2015;15437
160080;Vitória do Jari;2015;14598
170025;Abreulândia;2015;2520
170030;Aguiarnópolis;2015;6099
170035;Aliança do Tocantins;2015;5564
170040;Almas;2015;7356
170070;Alvorada;2015;8473
170100;Ananás;2015;9778
170105;Angico;2015;3353
170110;Aparecida do Rio Negro;2015;4581
170130;Aragominas;2015;5867
170190;Araguacema;2015;6811
170200;Araguaçu;2015;8715
170210;Araguaína;2015;168851
170215;Araguanã;2015;5472
170220;Araguatins;2015;34128
170230;Arapoema;2015;6748
170240;Arraias;2015;10700
170255;Augustinópolis;2015;17492
170270;Aurora do Tocantins;2015;3654
170290;Axixá do Tocantins;2015;9633
170300;Babaçulândia;2015;10657
170305;Bandeirantes do Tocantins;2015;3395
170307;Barra do Ouro;2015;4426
170310;Barrolândia;2015;5559
170320;Bernardo Sayão;2015;4499
170330;Bom Jesus do Tocantins;2015;4440
170360;Brasilândia do Tocantins;2015;2161
170370;Brejinho de Nazaré;2015;5410
170380;Buriti do Tocantins;2015;10753
170382;Cachoeirinha;2015;2240
170384;Campos Lindos;2015;9334
170386;Cariri do Tocantins;2015;4145
170388;Carmolândia;2015;2487
170389;Carrasco Bonito;2015;3952
170390;Caseara;2015;5078
170410;Centenário;2015;2782
170510;Chapada da Natividade;2015;3339
170460;Chapada de Areia;2015;1388
170550;Colinas do Tocantins;2015;33719
171670;Colméia;2015;8461
170555;Combinado;2015;4816
170560;Conceição do Tocantins;2015;4177
170600;Couto Magalhães;2015;5383
170610;Cristalândia;2015;7332
170625;Crixás do Tocantins;2015;1668
170650;Darcinópolis;2015;5788
170700;Dianópolis;2015;21003
170710;Divinópolis do Tocantins;2015;6726
170720;Dois Irmãos do Tocantins;2015;7248
170730;Dueré;2015;4688
170740;Esperantina;2015;10424
170755;Fátima;2015;3857
170765;Figueirópolis;2015;5346
170770;Filadélfia;2015;8782
170820;Formoso do Araguaia;2015;18605
170825;Fortaleza do Tabocão;2015;2538
170830;Goianorte;2015;5096
170900;Goiatins;2015;12716
170930;Guaraí;2015;24956
170950;Gurupi;2015;83065
170980;Ipueiras;2015;1867
171050;Itacajá;2015;7356
171070;Itaguatins;2015;5992
171090;Itapiratins;2015;3703
171110;Itaporã do Tocantins;2015;2458
171150;Jaú do Tocantins;2015;3733
171180;Juarina;2015;2230
171190;Lagoa da Confusão;2015;12086
171195;Lagoa do Tocantins;2015;4005
171200;Lajeado;2015;3003
171215;Lavandeira;2015;1800
171240;Lizarda;2015;3768
171245;Luzinópolis;2015;2921
171250;Marianópolis do Tocantins;2015;4858
171270;Mateiros;2015;2504
171280;Maurilândia do Tocantins;2015;3337
171320;Miracema do Tocantins;2015;19497
171330;Miranorte;2015;13199
171360;Monte do Carmo;2015;7475
171370;Monte Santo do Tocantins;2015;2214
171395;Muricilândia;2015;3407
171420;Natividade;2015;9222
171430;Nazaré;2015;4148
171488;Nova Olinda;2015;11426
171500;Nova Rosalândia;2015;4082
171510;Novo Acordo;2015;4125
171515;Novo Alegre;2015;2333
171525;Novo Jardim;2015;2630
171550;Oliveira de Fátima;2015;1089
172100;Palmas;2015;270516
171570;Palmeirante;2015;5607
171380;Palmeiras do Tocantins;2015;6313
171575;Palmeirópolis;2015;7588
171610;Paraíso do Tocantins;2015;48697
171620;Paranã;2015;10497
171630;Pau D'Arco;2015;4779
171650;Pedro Afonso;2015;12800
171660;Peixe;2015;11253
171665;Pequizeiro;2015;5341
171700;Pindorama do Tocantins;2015;4514
171720;Piraquê;2015;3008
171750;Pium;2015;7299
171780;Ponte Alta do Bom Jesus;2015;4615
171790;Ponte Alta do Tocantins;2015;7733
171800;Porto Alegre do Tocantins;2015;3016
171820;Porto Nacional;2015;51789
171830;Praia Norte;2015;8168
171840;Presidente Kennedy;2015;3717
171845;Pugmil;2015;2572
171850;Recursolândia;2015;4100
171855;Riachinho;2015;4487
171865;Rio da Conceição;2015;1965
171870;Rio dos Bois;2015;2743
171875;Rio Sono;2015;6439
171880;Sampaio;2015;4380
171884;Sandolândia;2015;3385
171886;Santa Fé do Araguaia;2015;7177
171888;Santa Maria do Tocantins;2015;3227
171889;Santa Rita do Tocantins;2015;2282
171890;Santa Rosa do Tocantins;2015;4758
171900;Santa Tereza do Tocantins;2015;2741
172000;Santa Terezinha do Tocantins;2015;2528
172010;São Bento do Tocantins;2015;5056
172015;São Félix do Tocantins;2015;1534
172020;São Miguel do Tocantins;2015;11508
172025;São Salvador do Tocantins;2015;3034
172030;São Sebastião do Tocantins;2015;4618
172049;São Valério;2015;4184
172065;Silvanópolis;2015;5305
172080;Sítio Novo do Tocantins;2015;9175
172085;Sucupira;2015;1885
172090;Taguatinga;2015;16114
172093;Taipas do Tocantins;2015;2078
172097;Talismã;2015;2716
172110;Tocantínia;2015;7256
172120;Tocantinópolis;2015;22971
172125;Tupirama;2015;1768
172130;Tupiratins;2015;2442
172208;Wanderlândia;2015;11480
172210;Xambioá;2015;11622
210005;Açailândia;2015;109721
210010;Afonso Cunha;2015;6307
210015;Água Doce do Maranhão;2015;12244
210020;Alcântara;2015;22041
210030;Aldeias Altas;2015;25622
210040;Altamira do Maranhão;2015;11561
210043;Alto Alegre do Maranhão;2015;26204
210047;Alto Alegre do Pindaré;2015;31826
210050;Alto Parnaíba;2015;11102
210055;Amapá do Maranhão;2015;6788
210060;Amarante do Maranhão;2015;40249
210070;Anajatuba;2015;26809
210080;Anapurus;2015;15075
210083;Apicum-Açu;2015;17785
210087;Araguanã;2015;14919
210090;Araioses;2015;45107
210095;Arame;2015;32449
210100;Arari;2015;29512
210110;Axixá;2015;11918
210120;Bacabal;2015;103699
210125;Bacabeira;2015;16260
210130;Bacuri;2015;18290
210135;Bacurituba;2015;5539
210140;Balsas;2015;90685
210150;Barão de Grajaú;2015;18399
210160;Barra do Corda;2015;86555
210170;Barreirinhas;2015;59625
210177;Bela Vista do Maranhão;2015;10928
210173;Belágua;2015;7231
210180;Benedito Leite;2015;5610
210190;Bequimão;2015;21202
210193;Bernardo do Mearim;2015;5921
210197;Boa Vista do Gurupi;2015;8775
210200;Bom Jardim;2015;40857
210203;Bom Jesus das Selvas;2015;31855
210207;Bom Lugar;2015;15716
210210;Brejo;2015;35373
210215;Brejo de Areia;2015;9896
210220;Buriti;2015;28196
210230;Buriti Bravo;2015;23661
210232;Buriticupu;2015;69840
210235;Buritirana;2015;15282
210237;Cachoeira Grande;2015;8855
210240;Cajapió;2015;11018
210250;Cajari;2015;19091
210255;Campestre do Maranhão;2015;14056
210260;Cândido Mendes;2015;19775
210270;Cantanhede;2015;21505
210275;Capinzal do Norte;2015;10928
210280;Carolina;2015;24380
210290;Carutapera;2015;23220
210300;Caxias;2015;162278
210310;Cedral;2015;10603
210312;Central do Maranhão;2015;8401
210315;Centro do Guilherme;2015;12606
210317;Centro Novo do Maranhão;2015;20740
210320;Chapadinha;2015;77578
210325;Cidelândia;2015;14377
210330;Codó;2015;121822
210340;Coelho Neto;2015;48686
210350;Colinas;2015;40639
210355;Conceição do Lago-Açu;2015;15582
210360;Coroatá;2015;64296
210370;Cururupu;2015;31727
210375;Davinópolis;2015;12878
210380;Dom Pedro;2015;23263
210390;Duque Bacelar;2015;11140
210400;Esperantinópolis;2015;17791
210405;Estreito;2015;39603
210407;Feira Nova do Maranhão;2015;8412
210408;Fernando Falcão;2015;9955
210409;Formosa da Serra Negra;2015;18407
210410;Fortaleza dos Nogueiras;2015;12568
210420;Fortuna;2015;15490
210430;Godofredo Viana;2015;11238
210440;Gonçalves Dias;2015;17895
210450;Governador Archer;2015;10655
210455;Governador Edison Lobão;2015;17392
210460;Governador Eugênio Barros;2015;16607
210462;Governador Luiz Rocha;2015;7668
210465;Governador Newton Bello;2015;10301
210467;Governador Nunes Freire;2015;25730
210470;Graça Aranha;2015;6264
210480;Grajaú;2015;66947
210490;Guimarães;2015;12161
210500;Humberto de Campos;2015;27850
210510;Icatu;2015;26481
210515;Igarapé do Meio;2015;13580
210520;Igarapé Grande;2015;11636
210530;Imperatriz;2015;256042
210535;Itaipava do Grajaú;2015;15419
210540;Itapecuru Mirim;2015;66105
210542;Itinga do Maranhão;2015;25729
210545;Jatobá;2015;9520
210547;Jenipapo dos Vieiras;2015;16185
210550;João Lisboa;2015;23887
210560;Joselândia;2015;16043
210565;Junco do Maranhão;2015;3725
210570;Lago da Pedra;2015;48857
210580;Lago do Junco;2015;10716
210594;Lago dos Rodrigues;2015;8938
210590;Lago Verde;2015;16027
210592;Lagoa do Mato;2015;11190
210596;Lagoa Grande do Maranhão;2015;11106
210598;Lajeado Novo;2015;7339
210600;Lima Campos;2015;11791
210610;Loreto;2015;11925
210620;Luís Domingues;2015;6817
210630;Magalhães de Almeida;2015;19008
210632;Maracaçumé;2015;20626
210635;Marajá do Sena;2015;7864
210637;Maranhãozinho;2015;15268
210640;Mata Roma;2015;16234
210650;Matinha;2015;22920
210660;Matões;2015;33132
210663;Matões do Norte;2015;15582
210667;Milagres do Maranhão;2015;8386
210670;Mirador;2015;20955
210675;Miranda do Norte;2015;26877
210680;Mirinzal;2015;14766
210690;Monção;2015;32755
210700;Montes Altos;2015;9355
210710;Morros;2015;18874
210720;Nina Rodrigues;2015;13698
210725;Nova Colinas;2015;5210
210730;Nova Iorque;2015;4684
210735;Nova Olinda do Maranhão;2015;20318
210740;Olho d'Água das Cunhãs;2015;19278
210745;Olinda Nova do Maranhão;2015;14157
210750;Paço do Lumiar;2015;115346
210760;Palmeirândia;2015;19480
210770;Paraibano;2015;21007
210780;Parnarama;2015;34498
210790;Passagem Franca;2015;18542
210800;Pastos Bons;2015;19022
210805;Paulino Neves;2015;15505
210810;Paulo Ramos;2015;20938
210820;Pedreiras;2015;39382
210825;Pedro do Rosário;2015;24297
210830;Penalva;2015;37172
210840;Peri Mirim;2015;14212
210845;Peritoró;2015;22517
210850;Pindaré-Mirim;2015;32442
210860;Pinheiro;2015;81813
210870;Pio XII;2015;21916
210880;Pirapemas;2015;18239
210890;Poção de Pedras;2015;18997
210900;Porto Franco;2015;23052
210905;Porto Rico do Maranhão;2015;6053
210910;Presidente Dutra;2015;46867
210920;Presidente Juscelino;2015;12318
210923;Presidente Médici;2015;6793
210927;Presidente Sarney;2015;18308
210930;Presidente Vargas;2015;11305
210940;Primeira Cruz;2015;14847
210945;Raposa;2015;29037
210950;Riachão;2015;20384
210955;Ribamar Fiquene;2015;7651
210960;Rosário;2015;41717
210970;Sambaíba;2015;5640
210975;Santa Filomena do Maranhão;2015;7557
210980;Santa Helena;2015;40706
210990;Santa Inês;2015;83567
211000;Santa Luzia;2015;71767
211003;Santa Luzia do Paruá;2015;24779
211010;Santa Quitéria do Maranhão;2015;25152
211020;Santa Rita;2015;35315
211023;Santana do Maranhão;2015;12739
211027;Santo Amaro do Maranhão;2015;15087
211030;Santo Antônio dos Lopes;2015;14553
211040;São Benedito do Rio Preto;2015;18447
211050;São Bento;2015;44681
211060;São Bernardo;2015;27860
211065;São Domingos do Azeitão;2015;7277
211070;São Domingos do Maranhão;2015;34344
211080;São Félix de Balsas;2015;4679
211085;São Francisco do Brejão;2015;11220
211090;São Francisco do Maranhão;2015;12175
211100;São João Batista;2015;20520
211102;São João do Carú;2015;15888
211105;São João do Paraíso;2015;11117
211107;São João do Soter;2015;18129
211110;São João dos Patos;2015;25657
211120;São José de Ribamar;2015;173455
211125;São José dos Basílios;2015;7645
211130;São Luís;2015;1072766
211140;São Luís Gonzaga do Maranhão;2015;19378
211150;São Mateus do Maranhão;2015;40819
211153;São Pedro da Água Branca;2015;12510
211157;São Pedro dos Crentes;2015;4602
211160;São Raimundo das Mangabeiras;2015;18418
211163;São Raimundo do Doca Bezerra;2015;5664
211167;São Roberto;2015;6440
211170;São Vicente Ferrer;2015;20777
211172;Satubinha;2015;13183
211174;Senador Alexandre Costa;2015;10847
211176;Senador La Rocque;2015;14583
211178;Serrano do Maranhão;2015;10069
211180;Sítio Novo;2015;17764
211190;Sucupira do Norte;2015;10647
211195;Sucupira do Riachão;2015;5598
211200;Tasso Fragoso;2015;8275
211210;Timbiras;2015;28885
211220;Timon;2015;164611
211223;Trizidela do Vale;2015;20958
211227;Tufilândia;2015;5784
211230;Tuntum;2015;40999
211240;Turiaçu;2015;35181
211245;Turilândia;2015;24615
211250;Tutóia;2015;56687
211260;Urbano Santos;2015;31885
211270;Vargem Grande;2015;53859
211280;Viana;2015;51603
211285;Vila Nova dos Martírios;2015;12562
211290;Vitória do Mearim;2015;32371
211300;Vitorino Freire;2015;31529
211400;Zé Doca;2015;50745
220005;Acauã;2015;7008
220010;Agricolândia;2015;5174
220020;Água Branca;2015;17164
220025;Alagoinha do Piauí;2015;7592
220027;Alegrete do Piauí;2015;4902
220030;Alto Longá;2015;14159
220040;Altos;2015;40186
220045;Alvorada do Gurguéia;2015;5310
220050;Amarante;2015;17574
220060;Angical do Piauí;2015;6806
220070;Anísio de Abreu;2015;9634
220080;Antônio Almeida;2015;3141
220090;Aroazes;2015;5871
220095;Aroeiras do Itaim;2015;2499
220100;Arraial;2015;4759
220105;Assunção do Piauí;2015;7775
220110;Avelino Lopes;2015;11539
220115;Baixa Grande do Ribeiro;2015;11230
220117;Barra D'Alcântara;2015;3948
220120;Barras;2015;46566
220130;Barreiras do Piauí;2015;3332
220140;Barro Duro;2015;7054
220150;Batalha;2015;26653
220155;Bela Vista do Piauí;2015;3951
220157;Belém do Piauí;2015;3477
220160;Beneditinos;2015;10175
220170;Bertolínia;2015;5477
220173;Betânia do Piauí;2015;6184
220177;Boa Hora;2015;6635
220180;Bocaina;2015;4498
220190;Bom Jesus;2015;24303
220191;Bom Princípio do Piauí;2015;5543
220192;Bonfim do Piauí;2015;5605
220194;Boqueirão do Piauí;2015;6444
220196;Brasileira;2015;8254
220198;Brejo do Piauí;2015;3984
220200;Buriti dos Lopes;2015;19671
220202;Buriti dos Montes;2015;8277
220205;Cabeceiras do Piauí;2015;10402
220207;Cajazeiras do Piauí;2015;3500
220208;Cajueiro da Praia;2015;7508
220209;Caldeirão Grande do Piauí;2015;5754
220210;Campinas do Piauí;2015;5579
220211;Campo Alegre do Fidalgo;2015;4940
220213;Campo Grande do Piauí;2015;5848
220217;Campo Largo do Piauí;2015;7142
220220;Campo Maior;2015;46581
220225;Canavieira;2015;3978
220230;Canto do Buriti;2015;20886
220240;Capitão de Campos;2015;11364
220245;Capitão Gervásio Oliveira;2015;4044
220250;Caracol;2015;10715
220253;Caraúbas do Piauí;2015;5776
220255;Caridade do Piauí;2015;5038
220260;Castelo do Piauí;2015;18452
220265;Caxingó;2015;5309
220270;Cocal;2015;27542
220271;Cocal de Telha;2015;4677
220272;Cocal dos Alves;2015;6098
220273;Coivaras;2015;3969
220275;Colônia do Gurguéia;2015;6352
220277;Colônia do Piauí;2015;7636
220280;Conceição do Canindé;2015;4602
220285;Coronel José Dias;2015;4667
220290;Corrente;2015;26369
220300;Cristalândia do Piauí;2015;8174
220310;Cristino Castro;2015;10334
220320;Curimatá;2015;11222
220323;Currais;2015;4894
220327;Curral Novo do Piauí;2015;5119
220325;Curralinhos;2015;4373
220330;Demerval Lobão;2015;13720
220335;Dirceu Arcoverde;2015;6934
220340;Dom Expedito Lopes;2015;6826
220345;Dom Inocêncio;2015;9516
220342;Domingos Mourão;2015;4360
220350;Elesbão Veloso;2015;14713
220360;Eliseu Martins;2015;4855
220370;Esperantina;2015;39271
220375;Fartura do Piauí;2015;5258
220380;Flores do Piauí;2015;4466
220385;Floresta do Piauí;2015;2551
220390;Floriano;2015;59556
220400;Francinópolis;2015;5353
220410;Francisco Ayres;2015;4451
220415;Francisco Macedo;2015;3113
220420;Francisco Santos;2015;9091
220430;Fronteiras;2015;11486
220435;Geminiano;2015;5368
220440;Gilbués;2015;10673
220450;Guadalupe;2015;10505
220455;Guaribas;2015;4538
220460;Hugo Napoleão;2015;3870
220465;Ilha Grande;2015;9295
220470;Inhuma;2015;15261
220480;Ipiranga do Piauí;2015;9697
220490;Isaías Coelho;2015;8508
220500;Itainópolis;2015;11491
220510;Itaueira;2015;10981
220515;Jacobina do Piauí;2015;5795
220520;Jaicós;2015;18826
220525;Jardim do Mulato;2015;4464
220527;Jatobá do Piauí;2015;4822
220530;Jerumenha;2015;4471
220535;João Costa;2015;3018
220540;Joaquim Pires;2015;14264
220545;Joca Marques;2015;5346
220550;José de Freitas;2015;38668
220551;Juazeiro do Piauí;2015;5451
220552;Júlio Borges;2015;5572
220553;Jurema;2015;4703
220555;Lagoa Alegre;2015;8392
220557;Lagoa de São Francisco;2015;6678
220556;Lagoa do Barro do Piauí;2015;4647
220558;Lagoa do Piauí;2015;4017
220559;Lagoa do Sítio;2015;5085
220554;Lagoinha do Piauí;2015;2790
220560;Landri Sales;2015;5344
220570;Luís Correia;2015;29776
220580;Luzilândia;2015;25409
220585;Madeiro;2015;8176
220590;Manoel Emídio;2015;5344
220595;Marcolândia;2015;8280
220600;Marcos Parente;2015;4554
220605;Massapê do Piauí;2015;6408
220610;Matias Olímpio;2015;10843
220620;Miguel Alves;2015;33454
220630;Miguel Leão;2015;1262
220635;Milton Brandão;2015;6631
220640;Monsenhor Gil;2015;10576
220650;Monsenhor Hipólito;2015;7670
220660;Monte Alegre do Piauí;2015;10604
220665;Morro Cabeça no Tempo;2015;4145
220667;Morro do Chapéu do Piauí;2015;6734
220669;Murici dos Portelas;2015;8944
220670;Nazaré do Piauí;2015;7407
